side,pitch,roll,j00_du_dp,j01_du_dr,j10_dl_dp,j11_dl_dr,diag_kp_upper,diag_kp_lower,diag_kd_upper,diag_kd_lower,equiv_kp_pitch,equiv_kp_roll,equiv_kp_cross
right,-0.27273938059806824,0.014048252254724503,-1.2512207031217804,-0.8544921874964472,-1.2512207031217804,0.8544921874964472,1.9232941792913125,1.923294179291312,1.9232941792913123,1.923294179291312,6.022038898192453,2.8086130256799047,3.349720032706672e-16
left,-0.359952837228775,0.0733332484960556,-1.373291015621669,0.8544921874964472,-1.3427734374960032,-0.8544921874964472,1.6098617828351658,1.6625374073484085,1.6098617828351656,1.6625374073484085,6.033706041828501,2.3893648433336874,0.01845903646170293
right,-0.4351937770843506,0.06490936130285263,-1.4343261718730014,-0.8850097656221133,-1.4648437499986675,0.8850097656221133,1.456261726593326,1.412272898602975,1.456261726593326,1.412272898602975,6.026363850022691,2.246757615147486,0.01769592844911147
left,-0.3813483417034149,0.07101380825042725,-1.4343261718841036,0.8544921875075494,-1.373291015621669,-0.8544921874964472,1.4815654816338788,1.5786135587817969,1.4815654816338788,1.5786135587817969,6.025164020702628,2.2344108370096634,0.03661300073581199
right,-0.35548368096351624,0.1459423303604126,-1.3427734374960032,-0.8544921874964472,-1.4343261718730014,0.8544921874964472,1.641386791499054,1.4916712572224249,1.641386791499054,1.4916712572224249,6.0282895672306465,2.2876239476513245,0.055086941103072384
left,-0.4288237690925598,0.055030666291713715,-1.4648437500097697,0.8850097656332155,-1.4343261718730014,-0.8850097656221133,1.4122728985799042,1.4562617265954778,1.4122728985799042,1.4562617265954778,6.026363850023549,2.2467576151588537,0.01769592844490786
right,-0.3580620288848877,0.1828203946352005,-1.3427734375015543,-0.8544921875019983,-1.4648437499986675,0.8544921874964472,1.6312767011705003,1.4368758507812314,1.6312767011705003,1.4368758507812314,6.02445905438376,2.240232751450289,0.07317564674550087
left,-0.06370270997285843,-0.14597101509571075,-1.0681152343754163,0.8544921874992227,-1.0986328124990008,-0.793457031250666,2.494149128538232,2.5409460442369367,2.494149128538232,2.5409460442369367,5.912407073925059,3.4208339105150376,-0.06141201458926367
right,-0.35113635659217834,0.033306799829006195,-1.3427734374960032,-0.8544921874964472,-1.373291015621669,0.8850097656221133,1.6798199095971422,1.5942463901250254,1.6798199095971422,1.5942463901250254,6.035417583722829,2.4752132810648604,-0.010201158460612808
left,-0.3636423349380493,-0.06636311113834381,-1.3427734374960032,0.8544921874964472,-1.373291015621669,-0.8544921874964472,1.6625374073484085,1.6098617828351653,1.6625374073484085,1.6098617828351653,6.0337060418285,2.3893648433336874,-0.01845903646170333
right,-0.4142155647277832,-0.049690406769514084,-1.4648437499986675,-0.8544921874964472,-1.4343261718730014,0.8544921874964472,1.4083889724637886,1.4530922642738093,1.4083889724637886,1.4530922642738093,6.011509340556865,2.089330264910703,-0.018062666796127284
left,-0.3981080651283264,-0.11784551292657852,-1.4038085937528864,0.8850097656276644,-1.4648437499986675,-0.8544921874964472,1.49625684857876,1.4327822219181785,1.49625684857876,1.4327822219181785,6.023058417159275,2.2180874567821856,-0.06551605627490696
right,-0.37565261125564575,-0.026117226108908653,-1.4038085937473352,-0.8850097656221133,-1.3427734374960032,0.8544921874964472,1.5352095636889003,1.6689759852343513,1.5352095636889003,1.6689759852343513,6.034635886687644,2.421055376033106,-0.0076450927589328975
left,-0.24252937734127045,-0.013423768803477287,-1.2207031249988898,0.8544921874964472,-1.2512207031217804,-0.823974609370781,1.982349493423845,1.960963150346621,1.982349493423845,1.9609631503466212,6.023923163477413,2.778791021014953,-0.046049454441710526
right,-0.0023856274783611298,0.12669070065021515,-1.0070800781254718,-0.8544921875006105,-1.0070800781254718,0.7629394531256938,2.737342255459823,2.99127307145604,2.737342255459823,2.99127307145604,5.8100205762472195,3.739839417810545,0.057280026463079725
